ID,Letter,Headerword,Part of Speech,IPA Prnounciation,Phonetic Pronunciation,Definition in Mandinka,Translation and Sentences,English Translation,Mandinka Sentence,Sentence IPA Pronouncation,Sentence Phonetic Pronounciation,Sentence English Translation,Source,Country
8753,J,juuta.,adj,/dʒuːta./,j-o-oh-o-oht-ah.,,,declined,,,,,,
8754,K,"kidimandi, fiarandi, fliifiandi. decorate with",v,"/kidimandi, fiarandi, fliːfiandi. detʃorate with/","k-ehhd-ehhm-ahnd-ehh, f-ehh-ahr-ahnd-ehh, fl-ehh-ehhf-ehh-ahnd-ehh. d-ehch-ohr-aht-eh w-ehhth",,,decorate,,,,,,
8755,R,ruujoo. decorating a,n,/ruːdʒoː. detʃoratiŋ a/,r-o-oh-o-ohj-oh-oh. d-ehch-ohr-aht-ehhng -ah,,,lipstick,,,,,,
8756,F,fiancoo.,n,/fiantʃoː./,f-ehh-ahnch-oh-oh.,,,stick,,,,,,
8757,S,"saayi, saayita, saayirin, saayirino, wakilirin.",adj,"/saːji, saːjita, saːjirin, saːjirino, wakilirin./","s-ah-ahy-ehh, s-ah-ahy-ehht-ah, s-ah-ahy-ehhr-ehhn, s-ah-ahy-ehhr-ehhn-oh, w-ahk-ehhl-ehhr-ehhn.",,,dedicated,,,,,,
8758,W,wakili.,v,/wakili./,w-ahk-ehhl-ehh.,,,dedicating,,,,,,
8759,K,kunofaata.,adj,/kunofaːta./,k-o-ohn-ohf-ah-aht-ah.,,,dedicating,,,,,,
8760,K,"kasoo, keebaaroo, keekuwo, keeroo, sono.",n,"/kasoː, keːbaːroː, keːkuwo, keːroː, sono./","k-ahs-oh-oh, k-eh-ehb-ah-ahr-oh-oh, k-eh-ehk-o-ohw-oh, k-eh-ehr-oh-oh, s-ohn-oh.",,,deed,,,,,,
8761,D,"diinon, dinka.",adj,"/diːnon, diŋka./","d-ehh-ehhn-ohn, d-ehhnk-ah.",,,deep,,,,,,
8762,H,hakilooborita.,v,/hakiloːborita./,h-ahk-ehhl-oh-ohb-ohr-ehht-ah.,,,deep,,,,,,
8763,D,diinono.,n,/diːnono./,d-ehh-ehhn-ohn-oh.,,,deepness,,,,,,
8764,J,"jinkijankoo, konkotono.",n,"/dʒiŋkidʒaŋkoː, koŋkotono./","j-ehhnk-ehhj-ahnk-oh-oh, k-ohnk-oht-ohn-oh.",,,deer,,,,,,
8765,T,toofiaa.,n,/toːfiaː./,t-oh-ohf-ehh-ah-ah.,,,defamation,,,,,,
8766,T,tootifiaa.,v,/toːtifiaː./,t-oh-oht-ehhf-ehh-ah-ah.,,,defame,,,,,,
8767,K,kajafi.,n,/kadʒafi./,k-ahj-ahf-ehh.,,,defame,,,,,,
8768,T,tootifiaata.,adj,/toːtifiaːta./,t-oh-oht-ehhf-ehh-ah-aht-ah.,,,defamed,,,,,,
8769,K,kajafiroo.,n,/kadʒafiroː./,k-ahj-ahf-ehhr-oh-oh.,,,defaming,,,,,,
8770,K,kutu. defeat a,v,/kutu. defeat a/,k-o-oht-o-oh. d-ehf-eh-aht -ah,,,defeat,,,,,,
8771,Y,yankandi.,v,/jaŋkandi./,y-ahnk-ahnd-ehh.,,,rival,,,,,,
8772,K,kabaani.,n,/kabaːni./,k-ahb-ah-ahn-ehh.,,,defecate,,,,,,
8773,B,buu.,n,/buː./,b-o-oh-o-oh.,,,defecated,,,,,,
8774,B,buukee.,vn,/buːkeː./,b-o-oh-o-ohk-eh-eh.,,,defecating,,,,,,
8775,E,"elloo, lanjuroo.",n,"/elloː, landʒuroː./","ehll-oh-oh, l-ahnj-o-ohr-oh-oh.",,,defect,,,,,,
8776,F,"faasaa, kanju.",v,"/faːsaː, kandʒu./","f-ah-ahs-ah-ah, k-ahnj-o-oh.",,,defend,,,,,,
8777,K,kanjurilaa.,n,/kandʒurilaː./,k-ahnj-o-ohr-ehhl-ah-ah.,,,defender,,,,,,
8778,K,kanjuroo.,n,/kandʒuroː./,k-ahnj-o-ohr-oh-oh.,,,defending,,,,,,
8779,F,faasaaroo.,vn,/faːsaːroː./,f-ah-ahs-ah-ahr-oh-oh.,,,defending,,,,,,
8780,F,firin.,v,/firin./,f-ehhr-ehhn.,,,define,,,,,,
8781,L,lanjuru.,v,/landʒuru./,l-ahnj-o-ohr-o-oh.,,,deform,,,,,,
8782,L,"lanjuruta, naasi.",vy,"/landʒuruta, naːsi./","l-ahnj-o-ohr-o-oht-ah, n-ah-ahs-ehh.",,,deformed,,,,,,
8783,L,"lanjururino, naasita, naasirino.",adj,"/landʒururino, naːsita, naːsirino./","l-ahnj-o-ohr-o-ohr-ehhn-oh, n-ah-ahs-ehht-ah, n-ah-ahs-ehhr-ehhn-oh.",,,deformed,,,,,,
8784,L,lanjururin. deformed,sv,/landʒururin. deformed/,l-ahnj-o-ohr-o-ohr-ehhn. d-ehf-ohrm-ehd,,,deformed,,,,,,
8785,L,lanjurutoo.,n,/landʒurutoː./,l-ahnj-o-ohr-o-oht-oh-oh.,,,person,,,,,,
8786,L,"lanjuroo, naasoo, sootaaroo.",n,"/landʒuroː, naːsoː, soːtaːroː./","l-ahnj-o-ohr-oh-oh, n-ah-ahs-oh-oh, s-oh-oht-ah-ahr-oh-oh.",,,deformity,,,,,,
8787,T,tafal tafal.,n,/tafal tafal./,t-ahf-ahl t-ahf-ahl.,,,delay,,,,,,
8788,D,"dukundi, naafandi, nambara.",v,"/dukundi, naːfandi, nambara./","d-o-ohk-o-ohnd-ehh, n-ah-ahf-ahnd-ehh, n-ahmb-ahr-ah.",,,delay,,,,,,
8789,N,nambarata.,v,/nambarata./,n-ahmb-ahr-aht-ah.,,,delayed,,,,,,
8790,T,tafal tafaloo. deliberate,n,/tafal tafaloː. deliberate/,t-ahf-ahl t-ahf-ahl-oh-oh. d-ehl-ehhb-ehr-aht-eh,,,delaying,,,,,,
8791,T,tawoo.,n,/tawoː./,t-ahw-oh-oh.,,,act,,,,,,
8792,K,katifeno.,n,/katifeno./,k-aht-ehhf-ehn-oh.,,,delicate,,,,,,
8793,D,"diimaa, diyaarin, timiyaa, diyaata, diyaa.",adj,"/diːmaː, dijaːrin, timijaː, dijaːta, dijaː./","d-ehh-ehhm-ah-ah, d-ehhy-ah-ahr-ehhn, t-ehhm-ehhy-ah-ah, d-ehhy-ah-aht-ah, d-ehhy-ah-ah.",,,delicious,,,,,,
8794,D,diyaa.,n,/dijaː./,d-ehhy-ah-ah.,,,deliciousness,,,,,,
8795,J,"jiidi, wuluu.",v,"/dʒiːdi, wuluː./","j-ehh-ehhd-ehh, w-o-ohl-o-oh-o-oh.",,,deliver,,,,,,
8796,W,"wuluwo. delivering,",n,"/wuluwo. deliveriŋ,/","w-o-ohl-o-ohw-oh. d-ehl-ehhv-ehr-ehhng,",,,delivering,,,,,,
8797,T,tino.,n,/tino./,t-ehhn-oh.,,,labour,,,,,,
8798,S,suman.,n,/suman./,s-o-ohm-ahn.,,,demarcate,,,,,,
8799,N,nuunee. -121-,v,/nuːneː. -121-/,n-o-oh-o-ohn-eh-eh. -121-,,,demarcate,,,,,,
8800,S,sumanta.,v,/sumanta./,s-o-ohm-ahnt-ah.,,,demarcated,,,,,,
8801,S,sumano.,n,/sumano./,s-o-ohm-ahn-oh.,,,demarcating,,,,,,
8802,S,sumandiroo.,vn,/sumandiroː./,s-o-ohm-ahnd-ehhr-oh-oh.,,,demarcating,,,,,,
8803,P,piipiiroo.,n,/piːpiːroː./,p-ehh-ehhp-ehh-ehhr-oh-oh.,,,demoralising,,,,,,
8804,J,jindi.,v,/dʒindi./,j-ehhnd-ehh.,,,demote,,,,,,
8805,B,"boomu, huduku.",v,"/boːmu, huduku./","b-oh-ohm-o-oh, h-o-ohd-o-ohk-o-oh.",,,dent,,,,,,
8806,H,hudukoo.,n,/hudukoː./,h-o-ohd-o-ohk-oh-oh.,,,dent,,,,,,
8807,B,boomurin.,sv,/boːmurin./,b-oh-ohm-o-ohr-ehhn.,,,dented,,,,,,
8808,B,boomurino.,adj,/boːmurino./,b-oh-ohm-o-ohr-ehhn-oh.,,,dented,,,,,,
8809,F,fiin jaaaralaa.,n,/fiːn dʒaːaralaː./,f-ehh-ehhn j-ah-ah-ahr-ahl-ah-ah.,,,dentist,,,,,,
8810,B,"bali, daajaa, kanojaa. deny a",v,"/bali, daːdʒaː, kanodʒaː. deɲ a/","b-ahl-ehh, d-ah-ahj-ah-ah, k-ahn-ohj-ah-ah. d-ehny -ah",,,deny,,,,,,
8811,S,soosoo.,v,/soːsoː./,s-oh-ohs-oh-oh.,,,statement,,,,,,
8812,D,daajaa. denying a,n,/daːdʒaː. deɲiŋ a/,d-ah-ahj-ah-ah. d-ehny-ehhng -ah,,,denying,,,,,,
8813,S,soosooroo.,vn,/soːsoːroː./,s-oh-ohs-oh-ohr-oh-oh.,,,statement,,,,,,
8814,B,"bo, taa.",v,"/bo, taː./","b-oh, t-ah-ah.",,,depart,,,,,,
8815,F,fannaa.,n,/fannaː./,f-ahnn-ah-ah.,,,department,,,,,,
8816,S,"sembe, tuku, yaaka.",v,"/sembe, tuku, jaːka./","s-ehmb-eh, t-o-ohk-o-oh, y-ah-ahk-ah.",,,depend,,,,,,
8817,T,tukurin.,sy,/tukurin./,t-o-ohk-o-ohr-ehhn.,,,depending,,,,,,
8818,F,fuuti.,adj,/fuːti./,f-o-oh-o-oht-ehh.,,,depriciate,,,,,,
8819,D,"diinono, dinkoo.",n,"/diːnono, diŋkoː./","d-ehh-ehhn-ohn-oh, d-ehhnk-oh-oh.",,,depth,,,,,,
8820,D,dipitee.,n,/dipiteː./,d-ehhp-ehht-eh-eh.,,,deputy,,,,,,
8821,M,"misaali, taamanseer.",v,"/misaːli, taːmanseːr./","m-ehhs-ah-ahl-ehh, t-ah-ahm-ahns-eh-ehr.",,,describe,,,,,,
8822,M,"misaaloo, taamanseeroo. desert",n,"/misaːloː, taːmanseːroː. desert/","m-ehhs-ah-ahl-oh-oh, t-ah-ahm-ahns-eh-ehr-oh-oh. d-ehs-ehrt",,,description,,,,,,
8823,T,to.,a,/to./,t-oh.,,,bo,,,,,,
8824,K,koodii.,v,/koːdiː./,k-oh-ohd-ehh-ehh.,,,desert,,,,,,
8825,L,"lafoo, diyaa.",n,"/lafoː, dijaː./","l-ahf-oh-oh, d-ehhy-ah-ah.",,,desire,,,,,,
8826,D,dewoo.,n,/dewoː./,d-ehw-oh-oh.,,,despair,,,,,,
8827,D,dewun.,adj,/dewun./,d-ehw-o-ohn.,,,desparate,,,,,,
8828,J,jakali.,n,/dʒakali./,j-ahk-ahl-ehh.,,,desparate,,,,,,
8829,D,"dewuta, dewurin.",adj,"/dewuta, dewurin./","d-ehw-o-oht-ah, d-ehw-o-ohr-ehhn.",,,desperate,,,,,,
8830,J,jutu.,v,/dʒutu./,j-o-oht-o-oh.,,,despise,,,,,,
8831,J,jutoo.,n,/dʒutoː./,j-o-oht-oh-oh.,,,despising,,,,,,
8832,D,dandulaa.,n,/dandulaː./,d-ahnd-o-ohl-ah-ah.,,,destination,,,,,,
8833,K,"kasaara, lakati. destroy a place to",v,"/kasaːra, lakati. destroj a platʃe to/","k-ahs-ah-ahr-ah, l-ahk-aht-ehh. d-ehstr-ohy -ah pl-ahch-eh t-oh",,,destroy,,,,,,
8834,T,tumbun.,v,/tumbun./,t-o-ohmb-o-ohn.,,,ruin,,,,,,
8835,K,kasaarata.,v,/kasaːrata./,k-ahs-ah-ahr-aht-ah.,,,destroyed,,,,,,
8836,K,"kasaararin, tiifiandin.",sv,"/kasaːrarin, tiːfiandin./","k-ahs-ah-ahr-ahr-ehhn, t-ehh-ehhf-ehh-ahnd-ehhn.",,,destroyed,,,,,,
8837,K,"kasaaroo, tiifiandiroo.",vn,"/kasaːroː, tiːfiandiroː./","k-ahs-ah-ahr-oh-oh, t-ehh-ehhf-ehh-ahnd-ehhr-oh-oh.",,,destroying,,,,,,
8838,K,kasaaroo.,vn,/kasaːroː./,k-ahs-ah-ahr-oh-oh.,,,destruction,,,,,,
8839,T,tiifiaaroo.,n,/tiːfiaːroː./,t-ehh-ehhf-ehh-ah-ahr-oh-oh.,,,destruction,,,,,,
8840,M,mutarino.,adj,/mutarino./,m-o-oht-ahr-ehhn-oh.,,,detained,,,,,,
8841,W,wura.,v,/wura./,w-o-ohr-ah.,,,dethrone,,,,,,
8842,J,"jiidi, jiidindi, kurukuru, yiriwaa, yiriwandi.",v,"/dʒiːdi, dʒiːdindi, kurukuru, jiriwaː, jiriwandi./","j-ehh-ehhd-ehh, j-ehh-ehhd-ehhnd-ehh, k-o-ohr-o-ohk-o-ohr-o-oh, y-ehhr-ehhw-ah-ah, y-ehhr-ehhw-ahnd-ehh.",,,develop,,,,,,
8843,Y,yiriwaata.,adj,/jiriwaːta./,y-ehhr-ehhw-ah-aht-ah.,,,developed,,,,,,
8844,Y,yiriwaa.,n,/jiriwaː./,y-ehhr-ehhw-ah-ah.,,,development,,,,,,
8845,J,"jinoo, kontorono, seetaanoo, seyitaanoo.",n,"/dʒinoː, kontorono, seːtaːnoː, sejitaːnoː./","j-ehhn-oh-oh, k-ohnt-ohr-ohn-oh, s-eh-eht-ah-ahn-oh-oh, s-ehy-ehht-ah-ahn-oh-oh.",,,devil,,,,,,
8846,B,"banjoo, komboo.",n,"/bandʒoː, komboː./","b-ahnj-oh-oh, k-ohmb-oh-oh.",,,dew,,,,,,
8847,S,sukurukuurano.,n,/sukurukuːrano./,s-o-ohk-o-ohr-o-ohk-o-oh-o-ohr-ahn-oh.,,,diabetes,,,,,,
8848,L,luuluuwo.,n,/luːluːwo./,l-o-oh-o-ohl-o-oh-o-ohw-oh.,,,diamond,,,,,,
8849,K,konobayoo.,n,/konobajoː./,k-ohn-ohb-ahy-oh-oh.,,,diarrhoea,,,,,,
8850,L,lupa.,v,/lupa./,l-o-ohp-ah.,,,dibble,,,,,,
8851,H,horomoo.,n,/horomoː./,h-ohr-ohm-oh-oh.,,,dicipline,,,,,,
8852,B,"bele, faa, Faatu, faa, faa, saa. die",v,"/bele, faː, faːtu, faː, faː, saː. die/","b-ehl-eh, f-ah-ah, f-ah-aht-o-oh, f-ah-ah, f-ah-ah, s-ah-ah. d-ehh-eh",,,die,,,,,,
8853,J,jifa.,v,/dʒifa./,j-ehhf-ah.,,,naturally,,,,,,
8854,F,fatanfansoo.,n,/fatanfansoː./,f-aht-ahnf-ahns-oh-oh.,,,difference,,,,,,
8855,F,fata. different,adj,/fata. different/,f-aht-ah. d-ehhff-ehr-ehnt,,,different,,,,,,
8856,F,fantan-fantan.,adj,/fantan-fantan./,f-ahnt-ahn-f-ahnt-ahn.,,,colors,,,,,,
8857,F,"faranfansi, fatanfansi.",v,"/faranfansi, fatanfansi./","f-ahr-ahnf-ahns-ehh, f-aht-ahnf-ahns-ehh.",,,differentiate,,,,,,
8858,K,"koleno, koleyaa, koleyaata, koleyaarin, koleyaarino, maneerin.",adj,"/koleno, kolejaː, kolejaːta, kolejaːrin, kolejaːrino, maneːrin./","k-ohl-ehn-oh, k-ohl-ehy-ah-ah, k-ohl-ehy-ah-aht-ah, k-ohl-ehy-ah-ahr-ehhn, k-ohl-ehy-ah-ahr-ehhn-oh, m-ahn-eh-ehr-ehhn.",,,difficult,,,,,,
8859,C,caus.,v,/tʃaus./,ch-ah-o-ohs.,,,difficult,,,,,,
8860,K,"koleyaa, koleyandi. difficult",n,"/kolejaː, kolejandi. diffitʃult/","k-ohl-ehy-ah-ah, k-ohl-ehy-ahnd-ehh. d-ehhff-ehhch-o-ohlt",,,difficult,,,,,,
8861,K,kolemaa.,n,/kolemaː./,k-ohl-ehm-ah-ah.,,,one,,,,,,
8862,S,sin.,v,/sin./,s-ehhn.,,,dig,,,,,,
8863,S,"sindano, somboo.",n,"/sindano, somboː./","s-ehhnd-ahn-oh, s-ohmb-oh-oh.",,,digger,,,,,,
8864,(,(n) kolonsinnaa.,well,/(n) kolonsinnaː./,(n) k-ohl-ohns-ehhnn-ah-ah.,,,digger,,,,,,
8865,W,wiri.,v,/wiri./,w-ehhr-ehh.,,,digout,,,,,,
8866,B,balano.,n,/balano./,b-ahl-ahn-oh.,,,dike,,,,,,
8867,S,soobee.,n,/soːbeː./,s-oh-ohb-eh-eh.,,,diligence,,,,,,
8868,S,"soobeyaata, soobeeyaarin, soobeeyarino, soobeeyaa.",adj,"/soːbejaːta, soːbeːjaːrin, soːbeːjarino, soːbeːjaː./","s-oh-ohb-ehy-ah-aht-ah, s-oh-ohb-eh-ehy-ah-ahr-ehhn, s-oh-ohb-eh-ehy-ahr-ehhn-oh, s-oh-ohb-eh-ehy-ah-ah.",,,diligent,,,,,,
8869,S,soobeeke.,adv,/soːbeːke./,s-oh-ohb-eh-ehk-eh.,,,diligently,,,,,,
8870,C,"cunti, jumbu.",v,"/tʃunti, dʒumbu./","ch-o-ohnt-ehh, j-o-ohmb-o-oh.",,,dilute,,,,,,
8871,J,jumbuta.,v,/dʒumbuta./,j-o-ohmb-o-oht-ah.,,,diluted,,,,,,
8872,S,siiman.,v,/siːman./,s-ehh-ehhm-ahn.,,,dine,,,,,,
8873,S,siimano.,n,/siːmano./,s-ehh-ehhm-ahn-oh.,,,dinner,,,,,,
8874,B,bula. dip in,v,/bula. dip in/,b-o-ohl-ah. d-ehhp -ehhn,,,dip,,,,,,
8875,B,buluu.,v,/buluː./,b-o-ohl-o-oh-o-oh.,,,blue,,,,,,
8876,T,taamanseeri.,v,/taːmanseːri./,t-ah-ahm-ahns-eh-ehr-ehh.,,,direct,,,,,,
8877,M,"maafan, maafano, taamarisee.",n,"/maːfan, maːfano, taːmariseː./","m-ah-ahf-ahn, m-ah-ahf-ahn-oh, t-ah-ahm-ahr-ehhs-eh-eh.",,,direction,,,,,,
8878,N,"noo, noota, noorin, fiembuta, fiemburin, fiemburino.",adj,"/noː, noːta, noːrin, fiembuta, fiemburin, fiemburino./","n-oh-oh, n-oh-oht-ah, n-oh-ohr-ehhn, f-ehh-ehmb-o-oht-ah, f-ehh-ehmb-o-ohr-ehhn, f-ehh-ehmb-o-ohr-ehhn-oh.",,,dirty,,,,,,
8879,N,naasoo.,n,/naːsoː./,n-ah-ahs-oh-oh.,,,disability,,,,,,
8880,N,naasindi.,v,/naːsindi./,n-ah-ahs-ehhnd-ehh.,,,disable,,,,,,
8881,N,"naasita, naasirin.",adj,"/naːsita, naːsirin./","n-ah-ahs-ehht-ah, n-ah-ahs-ehhr-ehhn.",,,disable,,,,,,
8882,N,naasi.,v,/naːsi./,n-ah-ahs-ehh.,,,disabled,,,,,,
8883,N,naasirino.,adj,/naːsirino./,n-ah-ahs-ehhr-ehhn-oh.,,,disabled,,,,,,
8884,B,bembaliyaa.,n,/bembalijaː./,b-ehmb-ahl-ehhy-ah-ah.,,,disagreement,,,,,,
8885,B,balannaa.,n,/balannaː./,b-ahl-ahnn-ah-ah.,,,disagrees,,,,,,
8886,Y,yeeman.,v,/jeːman./,y-eh-ehm-ahn.,,,disappear,,,,,,
8887,Y,yeemanta.,v,/jeːmanta./,y-eh-ehm-ahnt-ah.,,,disappeared,,,,,,
8888,Y,yeemano.,n,/jeːmano./,y-eh-ehm-ahn-oh.,,,disappearing,,,,,,
8889,J,jikitifiaa.,n,/dʒikitifiaː./,j-ehhk-ehht-ehhf-ehh-ah-ah.,,,disappointment,,,,,,
8890,A,"alibalaa, jaajaanoo, kooroo, maasiiboo, baakaaroo.",n,"/alibalaː, dʒaːdʒaːnoː, koːroː, maːsiːboː, baːkaːroː./","ahl-ehhb-ahl-ah-ah, j-ah-ahj-ah-ahn-oh-oh, k-oh-ohr-oh-oh, m-ah-ahs-ehh-ehhb-oh-oh, b-ah-ahk-ah-ahr-oh-oh.",,,disaster,,,,,,
8891,L,lannabaliyaa.,n,/lannabalijaː./,l-ahnn-ahb-ahl-ehhy-ah-ah.,,,disbelieve,,,,,,
8892,L,lannabaloo.,n,/lannabaloː./,l-ahnn-ahb-ahl-oh-oh.,,,disbeliever,,,,,,
8893,L,leefaa. disc,n,/leːfaː. distʃ/,l-eh-ehf-ah-ah. d-ehhsch,,,disc,,,,,,
8894,P,pikoofoo.,n,/pikoːfoː./,p-ehhk-oh-ohf-oh-oh.,,,player,,,,,,
8895,S,saayiboo.,n,/saːjiboː./,s-ah-ahy-ehhb-oh-oh.,,,disciple,,,,,,
8896,K,kuluwo.,n,/kuluwo./,k-o-ohl-o-ohw-oh.,,,discipline,,,,,,
8897,K,"kuluu, sariyan.",v,"/kuluː, sarijan./","k-o-ohl-o-oh-o-oh, s-ahr-ehhy-ahn.",,,discipline,,,,,,
8898,K,"kuluu, kuluurino, kuluurin.",adj,"/kuluː, kuluːrino, kuluːrin./","k-o-ohl-o-oh-o-oh, k-o-ohl-o-oh-o-ohr-ehhn-oh, k-o-ohl-o-oh-o-ohr-ehhn.",,,disciplined,,,,,,
8899,K,kuluuta.,vn,/kuluːta./,k-o-ohl-o-oh-o-oht-ah.,,,disciplined,,,,,,
8900,K,"kuluuroo, kuluwo.",n,"/kuluːroː, kuluwo./","k-o-ohl-o-oh-o-ohr-oh-oh, k-o-ohl-o-ohw-oh.",,,disciplining,,,,,,
8901,T,"tenkeren, waafiaari.",v,"/teŋkeren, waːfiaːri./","t-ehnk-ehr-ehn, w-ah-ahf-ehh-ah-ahr-ehh.",,,disclose,,,,,,
8902,L,lankenemarin.,sv,/laŋkenemarin./,l-ahnk-ehn-ehm-ahr-ehhn.,,,disclosed,,,,,,
8903,L,"lankenema, lankenemata.",v,"/laŋkenema, laŋkenemata./","l-ahnk-ehn-ehm-ah, l-ahnk-ehn-ehm-aht-ah.",,,disclosed,,,,,,
8904,W,waajfiaarita.,vn,/waːdʒfiaːrita./,w-ah-ahjf-ehh-ah-ahr-ehht-ah.,,,disclosed,,,,,,
8905,W,waafiaaroo. disco,vn,/waːfiaːroː. distʃo/,w-ah-ahf-ehh-ah-ahr-oh-oh. d-ehhsch-oh,,,disclosing,,,,,,
8906,B,baaloo.,n,/baːloː./,b-ah-ahl-oh-oh.,,,arena,,,,,,
8907,F,fitiyo.,n,/fitijo./,f-ehht-ehhy-oh.,,,discomfort,,,,,,
8908,W,wasabaliyaa.,n,/wasabalijaː./,w-ahs-ahb-ahl-ehhy-ah-ah.,,,discontent,,,,,,
8909,J,jikilatee.,adj,/dʒikilateː./,j-ehhk-ehhl-aht-eh-eh.,,,discouraged,,,,,,
8910,K,kijoo bota.,by a previou (adj,/kidʒoː bota./,k-ehhj-oh-oh b-oht-ah.,,,discouraged,,,,,,
8911,F,"fatanfansi, kesen.",v,"/fatanfansi, kesen./","f-aht-ahnf-ahns-ehh, k-ehs-ehn.",,,discriminate,,,,,,
8912,K,"kunloota, kacaa. discuss",v,"/kunloːta, katʃaː. distʃuss/","k-o-ohnl-oh-oht-ah, k-ahch-ah-ah. d-ehhsch-o-ohss",,,discuss,,,,,,
8913,K,kunloo.,v,/kunloː./,k-o-ohnl-oh-oh.,,,secretly,,,,,,
8914,K,Kacaata.,vn,/katʃaːta./,k-ahch-ah-aht-ah.,,,discussed,,,,,,
8915,K,kacaa.,n,/katʃaː./,k-ahch-ah-ah.,,,discussing,,,,,,
8916,K,kacaa.,n,/katʃaː./,k-ahch-ah-ah.,,,discussion,,,,,,
8917,K,kuurano.,n,/kuːrano./,k-o-oh-o-ohr-ahn-oh.,,,disease,,,,,,
8918,M,maloo.,n,/maloː./,m-ahl-oh-oh.,,,disgrace,,,,,,
8919,M,malundi.,v,/malundi./,m-ahl-o-ohnd-ehh.,,,disgrace,,,,,,
8920,M,"malundiroo, malundoo.",n,"/malundiroː, malundoː./","m-ahl-o-ohnd-ehhr-oh-oh, m-ahl-o-ohnd-oh-oh.",,,disgracing,,,,,,
8921,F,fasi.,adj,/fasi./,f-ahs-ehh.,,,disgusted,,,,,,
8922,K,kalee. dish out food for,v,/kaleː. dish out foːd for/,k-ahl-eh-eh. d-ehhsh -oh-o-oht f-oh-ohd f-ohr,,,dish,,,,,,
8923,N,niibo.,v,/niːbo./,n-ehh-ehhb-oh.,,,someone,,,,,,
8924,J,jenketa.,va,/dʒeŋketa./,j-ehnk-eht-ah.,,,dishonest,,,,,,
8925,J,"jenkerino, tapaleeyaata, tapaleeyaarin, tilimbaloo, jenke. dishonest",adj,"/dʒeŋkerino, tapaleːjaːta, tapaleːjaːrin, tilimbaloː, dʒeŋke. dishonest/","j-ehnk-ehr-ehhn-oh, t-ahp-ahl-eh-ehy-ah-aht-ah, t-ahp-ahl-eh-ehy-ah-ahr-ehhn, t-ehhl-ehhmb-ahl-oh-oh, j-ehnk-eh. d-ehhsh-ohn-ehst",,,dishonest,,,,,,
8926,T,"tapalee, tapaleeyaa, tilinbaloo.",n,"/tapaleː, tapaleːjaː, tilibaloː./","t-ahp-ahl-eh-eh, t-ahp-ahl-eh-ehy-ah-ah, t-ehhl-ehhnb-ahl-oh-oh.",,,person,,,,,,
8927,F,"forondinyaa, foroyaa-baliyaa, tapalee, tapaleeyaa, tilinbaliyaa.",n,"/forondiɲaː, forojaː-balijaː, tapaleː, tapaleːjaː, tilibalijaː./","f-ohr-ohnd-ehhny-ah-ah, f-ohr-ohy-ah-ah-b-ahl-ehhy-ah-ah, t-ahp-ahl-eh-eh, t-ahp-ahl-eh-ehy-ah-ah, t-ehhl-ehhnb-ahl-ehhy-ah-ah.",,,dishonesty,,,,,,
8928,T,tana.,n,/tana./,t-ahn-ah.,,,ike,,,,,,
8929,K,kon.,v,/kon./,k-ohn.,,,dislike,,,,,,
8930,K,"kubi, kupindi.",v,"/kubi, kupindi./","k-o-ohb-ehh, k-o-ohp-ehhnd-ehh.",,,dislocate,,,,,,
8931,K,"kupi, kupita.",v,"/kupi, kupita./","k-o-ohp-ehh, k-o-ohp-ehht-ah.",,,dislocated,,,,,,
8932,K,kuboo.,n,/kuboː./,k-o-ohb-oh-oh.,,,dislocation,,,,,,
8933,J,"janjan, kolon.",v,"/dʒandʒan, kolon./","j-ahnj-ahn, k-ohl-ohn.",,,dismantle,,,,,,
8934,K,"kolondin, kolonta.",v,"/kolondin, kolonta./","k-ohl-ohnd-ehhn, k-ohl-ohnt-ah.",,,dismantled,,,,,,
8935,J,janjandiroo.,vn,/dʒandʒandiroː./,j-ahnj-ahnd-ehhr-oh-oh.,,,dismantling,,,,,,
8936,B,bay.,v,/baj./,b-ahy.,,,dismiss,,,,,,
8937,S,"sookiroo, sookoo.",n,"/soːkiroː, soːkoː./","s-oh-ohk-ehhr-oh-oh, s-oh-ohk-oh-oh.",,,disobedience,,,,,,
8938,S,"sooki. disobey someone,etc. (v) soosoo.",v,"/soːki. disobej someone,ettʃ. (v) soːsoː./","s-oh-ohk-ehh. d-ehhs-ohb-ehy s-ohm-eh-ohn-eh,-ehtch. (v) s-oh-ohs-oh-oh.",,,disobey,,,,,,
8939,L,lopitaanoo.,n,/lopitaːnoː./,l-ohp-ehht-ah-ahn-oh-oh.,,,dispensary,,,,,,
8940,J,"janjan, janjandi.",v,"/dʒandʒan, dʒandʒandi./","j-ahnj-ahn, j-ahnj-ahnd-ehh.",,,disperse,,,,,,
8941,J,janjandiroo.,vn,/dʒandʒandiroː./,j-ahnj-ahnd-ehhr-oh-oh.,,,dispersing,,,,,,
8942,L,"laa, laa, laa.",v,"/laː, laː, laː./","l-ah-ah, l-ah-ah, l-ah-ah.",,,display,,,,,,
8943,L,laaroo.,n,/laːroː./,l-ah-ahr-oh-oh.,,,displaying,,,,,,
8944,H,horomantano.,n,/horomantano./,h-ohr-ohm-ahnt-ahn-oh.,,,disrespectful,,,,,,
8945,H,horomantano. - 122-,adj,/horomantano. - 122-/,h-ohr-ohm-ahnt-ahn-oh. - 122-,,,disrespectful,,,,,,
