ID,Letter,Headerword,Part of Speech,IPA Prnounciation,Phonetic Pronunciation,Definition in Mandinka,Translation and Sentences,English Translation,Mandinka Sentence,Sentence IPA Pronouncation,Sentence Phonetic Pronounciation,Sentence English Translation,Source,Country
4423,N,naalaa,adj,/naːlaː/,n-ah-ahl-ah-ah,,"next, coming. Tenen naalaa. Monday coming nex","next, coming",Tenen naalaa,/tenen naːlaː/,t-ehn-ehn n-ah-ahl-ah-ah,Monday coming nex,PC,Gambia
4425,N,naalaa,n,/naːlaː/,n-ah-ahl-ah-ah,,"alien, one coming. John mu naalaa le ti. John is an alien.","alien, one coming",John mu naalaa le ti,/dʒohn mu naːlaː le ti/,Loading...,John is an alien.,PC,Gambia
4426,N,naam,ex,/naːm/,n-ah-ahm,,response to a call.,response to a call,#N/A,/#n/a/,#n/-ah,response to a call.,PC,Gambia
4427,N,naamoo,n,/naːmoː/,n-ah-ahm-oh-oh,,"compound tax, yard tax, tax. A many naamoo joo foloo. He hasn't paid tax yet.","compound tax, yard tax, tax",A many naamoo joo foloo,/a maɲ naːmoː dʒoː foloː/,ah m-ahny n-ah-ahm-oh-oh j-oh-oh f-ohl-oh-oh,He hasn't paid tax yet.,PC,Gambia
4428,N,naamukaninnaa,n,/naːmukaninnaː/,n-ah-ahm-o-ohk-ahn-ehhnn-ah-ah,,"tax collector, revenue collector. Nte mu naamukaninnaa le ti. Zima tax collector.","tax collector, revenue collector",Nte mu naamukaninnaa le ti,/nte mu naːmukaninnaː le ti/,Loading...,Zima tax collector.,PC,Gambia
4429,N,naanee,n,/naːneː/,n-ah-ahn-eh-eh,,"boundary, frontier, limit. Jan ne mu naanee ti. This, the boundary.","boundary, frontier, limit",Jan ne mu naanee ti,/dʒan ne mu naːneː ti/,j-ahn n-eh m-o-oh n-ah-ahn-eh-eh t-ehh,"This, the boundary.",PC,Gambia
4430,N,naanee,v,/naːneː/,n-ah-ahn-eh-eh,,to motivate.,to motivate,#N/A,/#n/a/,Loading...,to motivate.,PC,Gambia
4431,N,naani,n,/naːni/,n-ah-ahn-ehh,,four. Dalasi naani dii a la. Give him four Dalasi.,four,Dalasi naani dii a la,/dalasi naːni diː a la/,d-ahl-ahs-ehh n-ah-ahn-ehh d-ehh-ehh -ah l-ah,Give him four Dalasi.,PC,Gambia
4432,N,naaninbuuru,n,/naːnibuːru/,n-ah-ahn-ehhnb-o-oh-o-ohr-o-oh,,made with rice and baobab fruit.,made with rice and baobab fruit,#N/A,/#n/a/,Loading...,made with rice and baobab fruit.,PC,Gambia
4433,N,naaninjanta,va,/naːnindʒanta/,n-ah-ahn-ehhnj-ahnt-ah,,to be done a fourth time.. Jaaninjanta le. ¢thappeneda fourth time.,to be done a fourth time,,,,Jaaninjanta le. ¢thappeneda fourth time.,PC,Gambia
4434,N,naaninjan,v,/naːnindʒan/,n-ah-ahn-ehhnj-ahn,,"to happen, do a fourth time.","to happen, do a fourth time",#N/A,/#n/a/,#n/-ah,"to happen, do a fourth time.",PC,Gambia
4435,N,naaninjano,n,/naːnindʒano/,n-ah-ahn-ehhnj-ahn-oh,,"fourth, the fouth. Nte le mu moo naaninjano ti. Jim the fourth person.","fourth, the fouth",Nte le mu moo naaninjano ti,/nte le mu moː naːnindʒano ti/,Loading...,Jim the fourth person.,PC,Gambia
4436,N,naanoo,n,/naːnoː/,n-ah-ahn-oh-oh,,The four. Doko naanoo samba. Take away the four sticks.,The four,Doko naanoo samba,/doko naːnoː samba/,Loading...,Take away the four sticks.,PC,Gambia
4437,N,naaree,n,/naːreː/,n-ah-ahr-eh-eh,,"top part of milk, cream. Naaree diyaata baake. The top part of sour milk is nice.","top part of milk, cream",Naaree diyaata baake,/naːreː dijaːta baːke/,n-ah-ahr-eh-eh d-ehhy-ah-aht-ah b-ah-ahk-eh,The top part of sour milk is nice.,PC,Gambia
4438,N,naarino,n,/naːrino/,n-ah-ahr-ehhn-oh,,upon arrival. N naarino le na a moy. [heard it upon myi arrival.,upon arrival,N naarino le na a moy,/n naːrino le na a moj/,n n-ah-ahr-ehhn-oh l-eh n-ah -ah m-ohy,[heard it upon myi arrival.,PC,Gambia
4439,N,naariyaa,adj,/naːrijaː/,n-ah-ahr-ehhy-ah-ah,,"lazy, slack. Nte man naariyaa. [’m not lazy.","lazy, slack",Nte man naariyaa,/nte man naːrijaː/,Loading...,[’m not lazy.,PC,Gambia
4440,N,naariyaarin,adj,/naːrijaːrin/,n-ah-ahr-ehhy-ah-ahr-ehhn,,"lazy, slack. A be naariyaarin. He's lazy.","lazy, slack",A be naariyaarin,/a be naːrijaːrin/,Loading...,He's lazy.,PC,Gambia
4441,N,naariyaata,adj,/naːrijaːta/,n-ah-ahr-ehhy-ah-aht-ah,,"lazy, slack. A naariyaata baake. He is very lazy.","lazy, slack",A naariyaata baake,/a naːrijaːta baːke/,Loading...,He is very lazy.,PC,Gambia
4442,N,naariyandi,v,/naːrijandi/,n-ah-ahr-ehhy-ahnd-ehh,,"to slacken, cause to be lazy. Kana n naariyandi. Dont slacken me.","to slacken, cause to be lazy",Kana n naariyandi,/kana n naːrijandi/,Loading...,Dont slacken me.,PC,Gambia
4443,N,Naaroo,n,/naːroː/,n-ah-ahr-oh-oh,,"mauritanian moor, Lebanese, etc. A mu naaroo le ti. He is a lebanese.","mauritanian moor, Lebanese, etc",A mu naaroo le ti,/a mu naːroː le ti/,Loading...,He is a lebanese.,PC,Gambia
